Product ID,Priduct Name,Purchase Price,Sales Price,
119,Haque Milk Chocolate Digestive Biscuit 145 gm,,35,
120,CBL Munchee Choco Mo Dark Chocolate (Buy 1 Get 1 Free) 100 gm,,150,
121,Well Food Morning Fresh Sugar Toast 200gm,,50,
122,Danish Doreo Black Chocolate Sandwich Biscuit 140 gm,,50,
123,CBL Munchee Kalo M.Cream Biscuits 90gm,,80,
124,Dan Cake Vanilla Layer Cake - 30gm,,30,
125,Dan Cake Chocolate Muffin - 25g,,25,
126,Dan Cake Chocolate Layer Cake 12 pack 360 gm,,240,
127,Danish Dry Cake Biscuit 350 gm,,120,
128,Dan Cake Vanilla Pound Cake 320 gm,,100,
129,Dan Cake Chocolate Pound Cake 320 gm,,100,
130,Dan Cake Chocolate Layer Cake 12x25g,,240,
131,Dan Cake Chocolate Muffin 12 packs 300 gm,,180,
132,Crown Peanut Butter Chunky 340gm,,420,
133,Crown Peanut Butter Chunky 510gm,,559,
134,Sundrop Peanut Butter jelly (Grape) 340 gm,,350,
135,PRAN Premium Butter 100gm,,100,
136,Red Cow Butter Oil 400 gm,,500,
137,Aarong Dairy Butter 100 gm,,100,
138,Aarong Dairy Butter 200gm,,200,
139,Aarong Dairy Pure Ghee 400 gm,,565,
140,Pran Premium Butter,195,195,
141,Pran Premium Butter,100,100,
142,Aarong Ghee - 400 gm,520,520,
143,Aarong Ghee - 200gm,280,280,
144,Farm Fresh Ghee 400 gm,,520,
145,Pran Premium Ghee 400 gm,,565,
146,PRAN Apple Fruit Drink Pet Bottle,,25,
147,Fontana Orange Juice - 1 ltr,,350,
148,Sundrop Mango Fruit Drink Juice - 1 ltr,,80,
149,Sundrop Mango Juice - 500 ml,,40,
150,Aarong Laban - 500ml,,55,
151,Aarong Laban - 250ml,,30,
152,Pran Lassi 200ml,,20,
153,Shezan Juice Mango Tetra Pack,,20,
154,Shezan Juice Mango Tetra Pack,,20,
155,Shezan Mango Fruit 6 Pet,,80,
156,Sajeeb Isbgul Bhushi 85±5g,,95,
157,Pran Frooto Mango Fruit Drink - 250ml,,25,
158,Pran Frooto Mango Fruit Drink - 1ltr,,70,
159,Pran Frooto Mango Fruit Drink - 500 ml,,45,
160,Maggi Health Soup (Regular) Vegetable 25gm,,40,
161,Knorr 72 Cube- 20 gm,,30,
162,Knorr Soup 72 Corn-24 gm,,40,
163,Bashundhara Tube Pasta- 500 gm,,80,
164,Dekko Pasta- 200gm,,35,
165,Kolson Macaroni Shell-400 gm,,65,
166,Mr. Pasta Chili 72-248 gm,,80,
167,Dekko Pasta-200 gm,,35,
168,Bashundhara Big Oyster Macaroni- 400 gm,,65,
169,Bashundhara Bamboo Macaroni-400 gm,,65,
170,Bashundhara Screw Macaroni- 400 gm,,65,
171,Bombay Sweets Mr. Twist,,15,
172,Bombay Sweets Ring Chips,,10,
173,Bombay Sweets Potato Crackers,,10,
174,Lay's Italian Shape Pastazz Chips 18gm,,10,
175,Kurkure American Style Cream & Onion Chips 45gm,,25,
176,Bombay Sweets Cheese Ball Cheezee Corn Snacks 20gm,,10,
177,Sun Chips Salt & Pepper 22gm,,15,
178,Sun Chips Prawn Crackers 20gm,,15,
179,Sun Chips Garlic & Chilli 22gm,,15,
180,Sun Chips Mix Masala 22gm,,15,
181,Ifad Eggy Stix Bar-B-Q Chips 22gm,,10,
182,Lay's Italian Shape Pastazz Chips- 37 gm,,20,
183,Alooz Waves B-B-Q Potato Chips 22gm,,15,
184,Sun Chips Tomato Tango-22 gm,,15,
185,Bombay Sweets Nachoz Chutney & Lime 30gm,,15,
186,Ruchi BBQ Potato Crackers 25gm,,10,
187,Sun Chips Mix Masala- 38gm,,25,
188,Bombay Sweets Alooz Spanish Tomato Flavor 22gm,,15,
189,Sun Chips Wasabi- 38 gm,,25,
190,Pringles Potato Chips Sour Cream & Onion- 158gm,,260,
191,Spicy Potato Stick-15 gm,,10,
192,Kurkure Chili Chatka Chips - 45gm,,25,
193,Pringles Potato Chips Original- 149 gm,,250,
194,Pringles Cheddar Cheese- 158 gm,,250,
195,Odonil Natural Air Freshener Lavender Meadows,,45,
196,Odonil Nature Air Freshener Jasmine Mist- 50 gm,,45,
197,Shalimar Honey Incense Sticks (Agarbatti),,20,
198,Odonil Natural Air Freshener Mystic Rose-50 gm,,45,
199,Fay Air Freshener Anti Tobacco 3 in 1- 300 ml,,220,
200,Odonil Zipper Lavender-10 gm,,60,
201,Godrej Aer Cool Room Spray- 270ml,,200,
202,Odonil Zipper Jasmine-10gm,,60,
